Island_Name,continent,Country,price,Acreage,latitude,longitude
Isla Gallina,Central America,Panama,1850000,22,8.454191263,-78.93070394
Isla Lacao,South America,Chile,1600000,206,-41.808333,-73.618889
Tinabian Island,Asia,Philippines,1600000,99,12.93594173,121.708099
Castaway Island,South Pacific Ocean,Vanuatu,NaN,2,-15.61318414,167.1453821
Double Bay Islands,Central America,Honduras,1590000,1,16.09326334,-86.93247805
Quoin Island,Australia,Australia,1517220,12,-23.81211266,151.2863292
"Hawks Nest Cay, Cat Island",North America,Bahamas,1500000,42,24.14264198,-75.52117791
Pedro Island,Central America,Belize,1500000,3,18.10348223,-87.97037802
Jewfish Key,North America,United States of America,1500000,1,27.44269724,-82.67928746
Green Paradise Island,Asia,Philippines,1500000,32,10.2418,119.327
Deer Island,North America,United States of America,1499999,90,29.235797,-83.079014
xCasco Bay Islandx,North America,Canada,NaN,41,44.955627,-66.931286
Archipelago Resorts,Asia,Philippines,1450000,1,12.062152,119.877113
Kokomo Property,Europe,United Kingdom,1400000,3,18.46314012,-64.53645166
"Blue Island, Nova Scotia",North America,Canada,NaN,188,43.68193257,-65.17616137
Third Cay,North America,Bahamas,1350000,4,25.50274393,-76.63387944
Zuna Island,Australia,Australia,1300000,1,-10.7196645,142.2921816
Royal Sunset Island Resort,South Pacific Ocean,Tonga,1265000,9,-21.056082,-175.2575066
Camanga Island,Asia,Philippines,1257267,75,12.29851489,120.261611
Long Point Island,North America,United States of America,1250000,56,36.39923118,-75.95590126
Saints Bay Island,South America,Brazil,1240310,6,-12.83101963,-38.83541979
Kangaroo Island,Australia,Australia,NaN,410,-25.43044655,152.88147
Hatobanari Island,Asia,Japan,1200000,2,24.4188889,123.8211111
Casa Brisa by the Sea,Central America,Belize,NaN,3,17.955283,-87.982754
Punta Entrada,Central America,Panama,1200000,15,8.075169525,-81.73653894
Isla Tortuga,South America,Chile,1200000,309,-40.70216346,-73.80208802
Sumba Island Properties,Asia,Indonesia,NaN,5,-9.769974747,119.3669872
Surf Beach Property,Asia,Indonesia,NaN,4,-9.6993439,119.9740534
Goring Bogue Caye,Central America,Belize,1100000,6,17.42214126,-88.06983843
Jewfish Key Beachfront Lot,North America,United States of America,1100000,1,27.44383832,-82.68076818
Prince Cay,North America,Bahamas,NaN,9,26.95155712,-77.60854042
3-acre Parcel on Long Island,North America,Bahamas,1000000,3,23.467654,-75.22330296
Tavewa Island Property,South Pacific Ocean,Fiji,NaN,5,-16.9262847,177.3599795
Yellow Rock Island,Australia,Australia,1000000,330,-30.48133676,153.0258974
Johnston Island,North America,United States of America,NaN,12,44.02419477,-69.39096369
Blue Hole Cay,North America,Bahamas,995000,12,24.20563708,-77.60982513
Coco Plum Cay,Central America,Honduras,990000,5,16.4222384,-86.19093608
Golfo Dulce Island Property,North America,Costa Rica,980000,32,8.595437982,-83.17390429
Marakorako Island,Europe,France,949684,8,-14.4028975,-145.958135
Guilihan Island,Asia,Philippines,900000,3,9.719752,126.074347
Bells Island,North America,United States of America,895000,62,34.7324956,-76.5014502
"Deep Water Cay, Grand Bahama",North America,Bahamas,885000,91,26.63093955,-77.9212028
Indigo Point,Europe,United Kingdom,875000,4,18.45760396,-64.53791078
Soldier Caye,Central America,Belize,800000,5,17.3247955,-87.78887264
Green Bay Island,Asia,Philippines,800000,15,10.25755871,119.3683705
Bonefish Cay,North America,Bahamas,795000,6,24.31493263,-77.82401389
Nanuku Levu Island,South Pacific Ocean,Fiji,NaN,11,-16.71884508,-179.4537766
Lime Cay,Central America,Nicaragua,NaN,10,12.438022,-83.432515
Exile Island,South Pacific Ocean,Fiji,NaN,15,-16.27112627,179.4339395
Golding Cay,North America,Bahamas,700000,3,25.52991249,-76.85076354
Isla Leo,Central America,Panama,699000,2,9.576708517,-79.34258108
Motu Opuou,Europe,France,NaN,1,-16.56129786,-151.4558983
Bachelor Island,North America,United States of America,650000,4,34.71263294,-76.52287334
Diamond Cay,Central America,Honduras,Off the Market,1,16.11351191,-86.94188999
Ahe Atoll Motu,Europe,France,Off the Market,17,-14.43103498,-146.2771855
West Snake Caye,Central America,Belize,600000,9,16.19133585,-88.57158939
Isla Quiros,Central America,Panama,NaN,4,8.43453117,-78.98300071
Tilloo Pond,North America,Bahamas,NaN,11,26.44429688,-76.98829407
Opal Caye,Central America,Belize,499000,5,16.5003199,-88.28689465
Virginia Caye,Central America,Belize,499000,4,16.79707974,-88.15528766
Kalgin Island,North America,United States of America,460000,5,60.4760675,-151.91807
Motu Tohepuku,Europe,France,444996,19,-16.16930465,-144.7855877
Salt Cay Parcels,Asia,Turks and Caicos,399000,2,21.34055159,-71.20063545
Ropewalk Caye,Central America,Belize,Off the Market,7,17.22815493,-87.8611848
Hat Caye,Central America,Belize,399000,1,17.17524234,-87.61968766
Indian Islands,North America,Canada,378282,45,45.61251625,-60.99668373
2630,Central America,Belize,375000,2,16.53769891,-88.36295402
2-Acre Private Island Near Placencia,Central America,Belize,375000,2,16.5601395,-88.19811619
Tahifehifa Island,South Pacific Ocean,Tonga,Off the Market,1,-18.81105241,-173.9976131
Deadman Caye 14 acres,Central America,Belize,299000,1,17.196611,-87.864445
Lark Caye,Central America,Belize,295000,3,16.51225245,-88.25902113
Spider Caye,Central America,Belize,275000,1,16.53495247,-88.0908299
Motu Matatahi,Europe,France,261761,2,-15.14570266,-147.913227
Pink Pearl Island,Central America,Nicaragua,NaN,1,12.4373519,-83.4229208
El Nido Peninsula,Asia,Philippines,199000,3,11.10355231,119.3348738
Deadman Caye 699acres,Central America,Belize,199000,1,17.19308524,-87.86650494
Angus Island,North America,Canada,190000,15,44.84903186,-62.4513146
Wee Wee Caye,Central America,Belize,180000,2,16.76491375,-88.14241775
Spuhn Island Lots,North America,United States of America,169900,2,58.34109686,-134.6579924
Cockroach Bay,Central America,Belize,150000,10,17.49623791,-87.78329345
"6-Acre Beachfront Parcel, Southern Long Caye",Central America,Belize,150000,6,17.08039087,-88.03664304
Deadman Caye 941 acres,Central America,Belize,149000,1,17.19452015,-87.86598995
Spanish Lookout Caye,Central America,Belize,NaN,186,17.4127159,-88.07015903
Tikina-i-ra Island,South Pacific Ocean,Fiji,Price By Negotiation,10233,-16.76888391,178.4899028
Jupiter Island,South America,Ecuador,NaN,642,0.432841,-80.05711
2620,Europe,Greece,NaN,1350,38.06930955,19.02532071
Tovu Island,South Pacific Ocean,Fiji,Offered for Long-term Lease,180,-17.34610809,178.0588479
Little Bay Estate,Europe,United Kingdom,NaN,7,18.49155551,-64.36499427
26-Acre Island in Blue Ground Range,Central America,Belize,NaN,3,16.81485815,-88.15099613
The Balam Escape,Central America,Belize,NaN,9500,17.98590843,-88.19813964
Pair of Fiji Islands,South Pacific Ocean,Fiji,NaN,25,-17.1121121,177.2469064
Gibraleon Island,Central America,Panama,NaN,227,8.516863891,-79.04516585
Wailagilala Island,South Pacific Ocean,Fiji,NaN,113,-16.74894798,-179.103198
Denarau Peninsula,Australia,Australia,NaN,1,-17.7637128,177.3853344
Jewel Caye,Central America,Belize,NaN,2,16.79078922,-88.15648325
Reef Islands,South Pacific Ocean,Vanuatu,NaN,237,-13.62112287,167.5276565
Elizabeth Island,Australia,Australia,NaN,65,-38.4162228,145.3689712
Thatch Cay,North America,United States of America,NaN,230,18.35849738,-64.85728765
Lenur Island,South Pacific Ocean,Vanuatu,NaN,84,-16.51524556,167.5947246
French Bay Property,North America,United States of America,NaN,130,18.3154662,-64.90495218
Private Island Exuma,North America,Bahamas,NaN,46,24.1843071,-76.44117358
Pebble Island,South America,Falkland Islands,NaN,26247,-51.2867891,-59.65204217
Funk Caye,Central America,Belize,NaN,3,16.55010812,-88.08482046
