,Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price,predicted
81,Bird Island,51,United States of America,28.897588121452998,-81.851878186755,1,0,1,0,0,1,0,0,1,0,0,0,0,Fruitland Park,4.14,6700000.0,no
82,Vargas Island Lot,65,Canada,49.202900055189,-126.03647077867,1,1,0,0,1,0,1,0,0,0,0,0,0,Tofino,6.77,6600000.0,no
83,Motu Moie,20,France,-16.558143428902,-151.51192377453998,0,1,1,0,1,1,0,0,0,0,0,0,0,Avarua,628.31,6500000.0,no
84,Tiger Point,359,Belize,17.249595979556002,-88.337132008984,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize City,19.57,6400000.0,no
85,Nail Bay Land,60,United Kingdom,18.493905899999998,-64.4022877,1,1,1,0,0,0,0,0,0,0,0,0,0,Saint Paul’s,127.49,6200000.0,no
86,Toberua Island Resort,5,Fiji,-17.9749062,178.7047,0,1,0,0,1,1,0,1,0,0,0,0,0,Tailevu Province,16.64,6200000.0,no
87,Kelefesia Island,32,Tonga,-20.501593015529,-174.73575489941,1,1,0,0,1,0,0,0,0,0,0,0,0,Kolonga,48.6,6000000.0,no
88,Janoyoy Island,4,Philippines,9.754685199999999,126.13128529999999,0,1,0,0,1,0,0,0,0,0,0,0,0,Union,1.44,5600000.0,no
89,Pierre Island,16,Bahamas,25.556148,-76.659508,0,1,1,0,1,0,0,0,0,0,0,0,0,Dunmore Town,4.0,5495000.0,no
90,Stroggilo Island,54,Greece,37.372743083346,26.716260910034,1,1,0,1,0,0,0,0,0,0,0,0,0,Skála,10.14,5020080.32,no
91,Fishermans Caye,42,Belize,16.672240983807,-88.189809406494,1,1,0,0,1,0,0,0,0,0,0,0,0,Placencia,16.0,4995000.0,no
92,Tivi Island,150,Fiji,-16.272035532284,179.46879186902,1,1,0,0,1,0,0,0,0,0,0,0,0,Labasa,13.11,4995000.0,no
93,La Patella,1,Bahamas,25.046294712052998,-77.500128857811,0,1,1,0,0,1,0,0,0,0,0,0,0,Nassau,9.87,4950000.0,no
94,North Saddle Caye,4,Belize,16.693212043576,-88.171033100525,0,1,1,0,0,1,0,0,0,0,0,0,0,Placencia,17.9,4950000.0,no
95,Goat Cay,7,Bahamas,23.402352664334,-75.51426998864801,0,1,1,0,0,0,0,0,0,0,0,0,0,George Town,18.97,4800000.0,no
96,Bainema Paradise Beach Villa,158,Brazil,-13.623767218007,-38.904993726368,1,1,1,0,0,1,0,0,0,0,0,0,0,Cairu,7.31,4680000.0,no
97,Isla Brava,140,Panama,8.1830842766129,-82.25595582525601,1,1,0,0,1,0,0,0,0,0,0,0,0,San Lorenzo,13.55,4600000.0,no
98,Big Fish Cay,55,Bahamas,27.049362100000003,-77.8374429,1,1,1,0,1,1,0,0,0,0,0,0,0,Cooper’s Town,23.55,4500000.0,no
99,65-Acre Private Island Resort,7,Belize,17.575057271267,-88.064189529053,0,1,1,0,1,1,0,0,0,0,0,0,0,Belize City,10.22,4500000.0,no
100,"Hawks Nest Cay, 26 acres",26,Bahamas,25.748372256259,-77.820128354956,1,1,0,0,1,0,0,0,0,0,0,0,0,San Andros,49.24,4500000.0,no
101,Valiha Island,950,Madagascar,-12.385039,48.70694,1,1,0,0,1,0,0,0,0,0,0,0,0,Mahalina,12.64,4462293.62,no
102,Cerboli Island,10,Italy,42.8583454,10.5475429,0,1,0,0,0,0,0,0,0,0,0,0,0,Piombino,4.77,4462293.62,no
103,Lake Saimaa Development,256,Finland,61.7394836,29.1283248,1,0,0,0,0,0,0,0,1,0,0,0,0,Punkaharju,8.61,4400000.0,no
104,Montego Caye,119,Belize,17.586769730739,-88.08263120805702,1,1,0,0,1,0,0,0,0,0,0,0,0,Belize City,9.68,4250000.0,no
105,Golden Pavilion,4,United Kingdom,18.456187032225,-64.5739799021,0,1,1,0,0,1,0,0,0,0,0,0,0,Saint Paul’s,135.36,4250000.0,no
106,Koome Island,3053,Uganda,-0.06078554512572,32.825773656067,1,0,0,0,0,0,0,0,1,0,0,0,0,Entebbe,25.25,4000000.0,no
107,Four Islands in Panama,45,Panama,9.593418152061599,-79.664805793762,1,1,0,0,1,0,0,0,0,0,0,0,0,Portobelo,2.84,4000000.0,no
108,1 Mandalay Island,3,United States of America,27.181327500000002,-80.1868135,0,1,1,0,1,1,0,0,0,0,0,0,0,Sewall's Point,1.57,3995000.0,no
109,Puenta Vieja Parcel,30,Panama,9.2937751849534,-82.08274235866101,1,1,0,0,1,0,0,0,0,0,0,0,0,Isla Bastimentos,3.48,3988000.0,no
110,Wild Berry Cay,100,Bahamas,25.4618921,-77.793122,1,1,1,0,1,0,0,0,0,0,0,0,0,San Andros,31.68,3950000.0,no
111,Faraway Camp,50,Canada,45.98770208555101,-81.553664520703,0,0,1,0,0,1,0,0,1,1,1,0,0,Little Current,17.83,3779795.69,no
112,Petite Cay,36,Bahamas,25.772586991466998,-77.834499382837,1,1,0,0,1,0,0,0,0,0,0,0,0,San Andros,50.59,3750000.0,no
113,Quartz Bay,88,Canada,50.163471549273005,-124.98944184608999,0,1,1,0,0,1,0,0,0,0,0,0,0,Campbell River,15.21,3745743.47,no
114,Angel Island,3,Canada,49.377718624928995,-94.125371296387,0,0,1,1,0,1,0,0,1,1,0,0,0,Kenora,31.49,3707907.68,no
115,Koh Jum Island Lodge,7,Thailand,7.8118868,98.9769851,0,0,0,0,0,0,0,0,0,0,0,0,0,Amphoe Ko Lanta,9.74,3600000.0,no
116,Medio Island,99,Philippines,12.38,124.04055600000001,1,1,0,0,1,0,0,0,0,0,0,0,0,Capul,9.95,3500000.0,no
117,Little Goat Island,390,United States of America,32.789100063283,-79.798896457544,1,1,0,0,0,0,0,0,0,0,0,0,0,Isle of Palms,0.28,3500000.0,no
118,Isla Bonita,20,Brazil,-22.991823161238,-43.910332969385,0,1,1,0,1,1,0,0,0,0,0,0,0,Mangaratiba,8.58,3500000.0,no
119,AuTrain Island,106,United States of America,46.485628999999996,-86.896019,1,0,0,0,0,0,0,0,1,0,0,0,0,Munising,12.82,3450000.0,no
120,Wild Duck Island,300,Australia,-22.006397,149.8555,1,1,1,0,1,0,1,0,0,0,0,0,0,Sarina,57.69,3413746.02,no
121,Whitestone Island,6,Canada,49.596500534036,-124.04484564722,0,1,1,0,0,1,0,0,0,0,0,0,0,South Pender Harbour,1.98,3405221.34,no
122,Dumunpalit Island,75,,12.3830556,120.1172222,1,1,0,0,1,0,0,0,0,0,0,0,0,Buluang,19.3,3400000.0,no
123,Fazenda Cipo Island,25,Brazil,-13.761744214978002,-39.102697763354,1,1,0,0,1,0,0,0,0,0,0,0,0,Ituberá,3.54,3346720.21,no
