Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Gumelemi Cay,8,Bahamas,26.7001865,-77.1767345,0,1,1,0,1,0,0,0,0,0,0,0,0,Marsh Harbour,13.02,
Hopkins Island,13,United States of America,24.629443,-81.379735,0,1,1,0,1,1,0,0,0,0,0,0,0,Big Pine Key,3.23,
St John's Island,750,Greece,37.821285509524,23.261950846557998,1,1,0,0,0,0,0,0,0,0,0,0,0,Ágioi Theódoroi,9.82,
"Blackbook Listing
(2602)",0,Fiji,-17.776535600000006,177.43562269999995,1,1,0,0,1,0,1,0,0,0,0,0,0,Nadi,2.24,
"Blackbook Listing
(2538)",0,Belize,17.5045661,-88.1962133,1,1,1,0,1,1,1,0,0,0,0,0,0,Belize City,0.36,
Petra Island,11,United States of America,41.383149,-73.737076,0,0,1,0,0,1,0,0,1,1,1,0,0,Mahopac,0.77,
Walker's Cay,58,Bahamas,27.259665,-78.401442,1,1,1,0,1,0,1,0,0,0,1,0,0,High Rock,45.52,
Wavi Island,27,Fiji,-16.802836,179.41130857141002,1,1,1,0,1,1,0,0,0,0,0,0,0,Cakaudrove Province,9.41,
Petit Nevis,71,SVG,12.973634,-61.243501,1,1,1,0,1,0,0,0,0,0,0,0,0,Kingstown,12.6,
Shelter Island Estate,22,United States of America,47.89550120000001,-114.1742844,1,0,1,0,0,1,0,0,1,0,0,0,0,Lakeside,8.87,
Nissos Makri,245,Greece,38.359157,21.036705,1,1,0,0,0,0,0,0,0,0,0,0,0,Katochí,12.26,
Casey Bay,4,United Kingdom,18.459454775961,-64.441094985706,0,1,0,0,0,1,0,1,0,0,0,0,0,Saint Paul’s,128.2,
Northern Aegean Island,34,Greece,37.994851823417,24.258839609375,1,1,0,0,1,0,0,0,0,0,0,0,0,Marmárion,4.99,
Lambay Cay,7,Honduras,15.961115806933,-86.471495149158,0,1,0,0,1,0,0,0,0,0,0,0,0,Nueva Armenia,11.58,
"Blackbook Listing
(2096)",0,Seychelles,-4.679574,55.491977,1,1,0,0,1,1,1,1,0,0,0,0,0,Cascade,1.05,
Blue Island,700,Bahamas,23.391374022343,-75.474572913403,1,1,1,0,1,1,1,0,0,0,0,0,0,George Town,21.58,
Sandy Cay,8,Bahamas,26.583726472911,-77.00692410688501,0,1,1,0,1,1,0,0,0,0,0,0,0,Marsh Harbour,4.57,
Nukudrau Island,46,Fiji,-16.734812825877,179.58135919417,1,1,1,0,1,0,0,0,0,0,0,0,0,Cakaudrove Province,11.87,
Hope Island,86,United States of America,43.705916,-70.1175477,1,1,1,0,0,1,0,0,0,0,0,0,0,Falmouth Foreside,4.93,
Kato Antikeri Island,272,Greece,36.841371654212,25.666822592589998,1,1,0,0,0,0,0,0,0,0,0,0,0,Filótion,17.25,
Rai Ki Wai Estate,47,Fiji,-17.616061300000005,179.0012007,1,1,0,0,1,0,1,1,0,0,0,0,0,Lomaiviti Province,13.7,
The Southern Minks,14,Canada,45.379377777778,-80.430175,0,0,1,0,0,1,0,0,1,0,0,0,0,Parry Sound,19.3,
"Blackbook Listing
(2534)",0,United States of America,18.335765,-64.896335,1,1,0,0,1,0,0,0,0,0,0,0,0,Saint Paul’s,149.96,
Nissos Sofia,44,Greece,38.4801066,21.001351100000004,1,1,0,0,0,0,0,0,0,0,0,0,0,Astakós,5.78,
Breakwater Island,65,Canada,49.13581168535301,-123.68240396955,1,1,1,0,0,1,0,0,0,0,0,0,0,Cedar,7.82,
Maosonon Island,112,Philippines,11.242817734494,119.68198835502,1,1,0,0,1,0,0,0,0,0,0,0,0,Tiniguiban,14.37,
Dao Island,118,Philippines,12.053276,119.793267,1,1,0,0,1,0,0,0,0,0,0,0,0,Panlaitan,5.89,
Live Oaks Island,12,United States of America,32.439456446913,-80.497382089966,0,1,0,1,0,0,0,0,0,0,0,0,0,Beaufort,10.07,
Johnny's Cay,4,Bahamas,26.5677383,-76.97240699999998,0,1,1,0,1,1,0,0,0,0,0,0,0,Marsh Harbour,5.93,
Savage Island Plantation,415,United States of America,32.183446137973,-80.86671905752,1,0,1,0,0,1,0,0,0,0,0,1,0,Bluffton,3.73,
Manta Caye,8,Belize,16.713649493800002,-87.851645323181,0,1,1,0,1,0,0,0,0,0,0,0,0,Dangriga,30.81,
Tragonisi Island,90,Greece,37.803434608927,23.247510648163,1,1,0,0,0,0,0,0,0,0,0,0,0,Ágioi Theódoroi,10.31,
"Blackbook Listing
(2107)",0,Bahamas,26.87329960000001,-77.9038897,1,1,1,0,1,0,0,0,0,0,0,0,0,Cooper’s Town,24.2,
Hood Island,4,Canada,48.715472786144,-123.37285671161,0,1,0,0,1,0,0,0,0,0,0,0,0,North Saanich,4.0,
Castle Island,20,Canada,50.120349,-88.81904899999998,0,0,1,0,0,1,0,0,1,1,0,0,0,Thunder Bay District,45.15,
Reef Island,17,United States of America,48.6042678,-123.016293,0,0,1,0,1,1,0,0,1,0,0,0,0,Friday Harbor,4.84,
Green Island,68,United States of America,45.8354988,-84.747483,1,0,0,0,0,0,0,0,1,0,0,0,0,Saint Ignace,2.33,
Turtle Island Australia,23,Australia,-23.798903,151.26486,1,1,1,0,1,1,0,0,0,0,0,0,0,Gladstone Central,3.2,
Pavis Island,11,Canada,45.56096820000001,-80.4662676,0,0,1,1,0,1,0,0,1,1,0,0,0,Parry Sound,25.58,
Scott Island,5,Canada,48.972485,-123.69523999999998,0,1,1,0,0,1,0,0,0,0,0,0,0,Saltair,3.72,
Fawn Island,2,United States of America,48.6137126,-123.0071271,0,0,1,0,0,1,0,0,1,0,0,0,0,Friday Harbor,5.51,
Mai Island,32,Fiji,-16.199549003578998,179.83641846777005,1,1,1,0,1,1,0,0,0,0,0,0,0,Labasa,35.21,
Ilha Comprida,10,Brazil,-22.963767808131,-44.369380523804,0,0,0,0,0,0,0,0,0,0,0,0,0,Angra dos Reis,4.41,
Moho Caye,8,Belize,16.499695000000006,-88.167182,0,1,1,0,1,0,0,0,0,0,0,0,0,Placencia,13.24,
Fairview Island,20,Canada,45.225600682004995,-79.069234899414,0,0,1,1,0,1,0,0,1,1,0,0,0,Huntsville,10.33,
Emerald Island,6,United States of America,37.071107874446,-79.60751847100799,0,0,1,0,0,1,0,0,1,0,0,0,0,North Shore,2.9,
