Unnamed: 0,Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
129,Roberts Cay,20,Bahamas,24.796630248371,-76.831727423279,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,Nassau,36.79,8000000.0
132,Sipson Island,25,United States of America,41.736553716213,-69.963220453967,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,Chatham,3.77,7985000.0
134,Devils Cay,117,Bahamas,25.600664000000002,-77.728615,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,San Andros,42.0,7950000.0
135,Katitche Point Greathouse,1,United Kingdom,18.47188,-64.414659289,no,no,no,no,no,yes,no,yes,no,no,no,no,no,Saint Paul’s,127.27,7950000.0
136,Powell Cay,294,Bahamas,26.908188800000005,-77.4773674,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Cooper’s Town,3.29,7895000.0
137,Woodmere Island,5,Canada,45.143840999999995,-79.583031,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,Bracebridge,15.08,7895000.0
139,Kaashihulhudhoo Island,38,Maldives,0.48814383502309,72.994624296728,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Thinadhoo,2.95,7809013.83
140,Horse Island,157,Ireland,51.51630460000001,-9.4680023,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,Skibbereen,8.96,7530120.48
141,Adavaci Island,102,Fiji,-17.200052192319,-179.00711732794,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Lau Province,70.85,7500000.0
142,Petit Trou Peninsula,50,Grenada,12.025008319683002,-61.659445166595,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Saint David’s,1.77,7500000.0
143,Frenchman's Caye,200,Belize,17.572844202155,-88.07520285101299,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Belize City,9.52,7500000.0
144,Parida Island,217,Panama,8.1294648092245,-82.332038738037,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,Pedregal,17.79,7500000.0
145,Aese Island,1690,Vanuatu,-15.4316954,167.2491365,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Luganville,8.4,7500000.0
146,Sand Dollar Cay,24,Bahamas,25.570007589664996,-77.723293432861,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,San Andros,40.32,7200000.0
147,Motu Rauoro,18,France,-16.572897586134,-151.44357146067,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Avarua,631.61,7137688.53
148,Sawyer's Cay,6,Bahamas,25.539214,-76.80510699999998,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,Spanish Wells,2.62,7050000.0
149,Bonefish Cay 135-acres,14,Bahamas,26.890357276101998,-77.451210363477,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Cooper’s Town,3.93,7000000.0
150,40-acre Beachfront Property on Ambergris Caye,40,Belize,18.001592000000006,-87.94328370000002,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,San Pedro,6.1,6999500.0
152,Bird Island,51,United States of America,28.897588121452998,-81.851878186755,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,Fruitland Park,4.14,6700000.0
153,Vargas Island Lot,65,Canada,49.202900055189,-126.03647077867,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,Tofino,6.77,6600000.0
156,Motu Moie,20,France,-16.558143428902,-151.51192377453998,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Avarua,628.31,6500000.0
157,Tiger Point,359,Belize,17.249595979556002,-88.337132008984,no,no,no,no,no,no,no,no,no,no,no,no,no,Belize City,19.57,6400000.0
