Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price,Z_Price,$/Acre,Z_Value,P_Value,Z_Distance,P_Distance,Homicide Rate,CPI Score 2018,Standard error,Z_Homicide,P_Homicide,Z_CPI,P_CPI,Income_Potential
Saddleback Cay,47,Bahamas,24.654108960511998,-76.810913085938,1,1,1,0,1,0,0,0,0,0,0,0,0,Nassau,43.5,11800000.0,0.5962435766330129,251063.82978723405,-0.1176588213912098,0.45316899792127774,0.1162639362888855,0.5462783167953454,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Great Sale Cay,370,Bahamas,26.996629600000002,-78.21058570000002,1,1,1,0,1,0,0,0,0,0,0,0,0,High Rock,27.04,9900000.0,0.43297559190439583,26756.756756756757,-0.340624770022273,0.3666930398325425,-0.03215453466366006,0.48717440674772255,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Lumber Cay,30,Bahamas,24.161774994724002,-76.430015586694,1,1,0,0,1,0,0,0,0,0,0,0,0,Arthur’s Town,57.37,9400000.0,0.39001033276528607,313333.3333333333,-0.05576162509970045,0.47776585304400826,0.2413285895156052,0.5953497728218028,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Jim Cay,8,Bahamas,23.883476164965,-76.25602703223298,0,1,0,0,1,0,0,0,0,0,0,0,0,George Town,39.06,9000000.0,0.3556381254539983,1125000.0,0.7510521140326218,0.7736893535123592,0.07622882018746983,0.5303814729016162,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Leaf Cay,30,Bahamas,23.7861,-76.1271,0,1,1,0,1,0,0,0,0,0,0,0,0,George Town,28.5,8500000.0,0.31267286631488855,283333.3333333333,-0.08558225611485816,0.46589925213493744,-0.018989834324005344,0.49242460749159495,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Roberts Cay,20,Bahamas,24.796630248371,-76.831727423279,0,1,1,0,1,0,0,0,0,0,0,0,0,Nassau,36.79,8000000.0,0.2697076071757788,400000.0,0.030386864499644034,0.5121207396849068,0.05576041623471899,0.5222336654378117,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Devils Cay,117,Bahamas,25.600664000000002,-77.728615,1,1,1,0,1,0,0,0,0,0,0,0,0,San Andros,42.0,7950000.0,0.2654110812618678,67948.71794871795,-0.29967909417240063,0.3822109732730214,0.10273855922759642,0.5409147651425303,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Powell Cay,294,Bahamas,26.908188800000005,-77.4773674,1,1,1,0,1,0,0,0,0,0,0,0,0,Cooper’s Town,3.29,7895000.0,0.26068490275656575,26853.74149659864,-0.34052836515090873,0.366729332727845,-0.24630633813407057,0.4027225519688971,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Sand Dollar Cay,24,Bahamas,25.570007589664996,-77.723293432861,0,1,1,0,1,0,0,0,0,0,0,0,0,San Andros,40.32,7200000.0,0.2009631925532032,300000.0,-0.06901523888421497,0.47248874477330105,0.08759013691895265,0.534898779176362,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Sawyer's Cay,6,Bahamas,25.539214,-76.80510699999998,0,1,1,0,1,0,0,0,0,0,0,0,0,Spanish Wells,2.62,7050000.0,0.18807361481147028,1175000.0,0.8007531657245514,0.7883627214254058,-0.25234767322144636,0.4003861711085948,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
